order_months,total_sales,total_customers,total_quantity
April 2011,502042,157,157
April 2012,400324,219,219
April 2013,1045860,1564,3979
August 2011,614516,193,193
August 2012,523887,294,294
August 2013,1545910,1898,4848
December 2010,43419,14,14
December 2011,669395,222,222
December 2012,624454,354,483
December 2013,1874128,2133,5520
February 2011,466307,144,144
February 2012,506992,260,260
February 2013,771218,1373,3454
January 2011,469795,144,144
January 2012,495363,252,252
January 2013,857758,627,1677
January 2014,45642,834,1970
July 2011,596710,188,188
July 2012,444533,246,246
July 2013,1371595,1796,4673
June 2011,737793,230,230
June 2012,555142,318,318
June 2013,1642948,1948,5025
March 2011,485165,150,150
March 2012,373478,212,212
March 2013,1049732,1631,4087
May 2011,561647,174,174
May 2012,358866,207,207
May 2013,1284456,1719,4400
November 2011,660507,208,208
November 2012,537918,324,324
November 2013,1780688,2036,5224
October 2011,708164,221,221
October 2012,535125,313,313
October 2013,1673261,2073,5304
September 2011,603047,185,185
September 2012,486149,269,269
September 2013,1447324,1832,4616
